Serial No,Title,Year,Rating
1,Anand,(1971),8.7
2,Drishyam,(2013),8.6
3,Nayakan,(1987),8.5
4,Anbe Sivam,(2003),8.5
5,Gol Maal,(1979),8.5
6,Vikram Vedha,(2017),8.5
7,Black Friday,(2004),8.4
8,Ratsasan,(2018),8.4
9,Pather Panchali,(1955),8.4
10,Dangal,(2016),8.4
11,Taare Zameen Par,(2007),8.4
12,3 Idiots,(2009),8.4
13,96,(2018),8.3
14,Thalapathi,(1991),8.3
15,Jaane Bhi Do Yaaro,(1983),8.3
16,Aruvi,(2016),8.3
17,Manichitrathazhu,(1993),8.3
18,Guide,(1965),8.3
19,Andhadhun,(2018),8.3
20,Chupke Chupke,(1975),8.3
21,Uri: The Surgical Strike,(2019),8.2
22,Thani Oruvan,(2015),8.2
23,Kannathil Muthamittal,(2002),8.2
24,Khosla Ka Ghosla!,(2006),8.2
25,Apur Sansar,(1959),8.2
26,Vada Chennai,(2018),8.2
27,Gully Boy,(2019),8.2
28,Dhuruvangal Pathinaaru,(2016),8.2
29,Peranbu,(2018),8.2
30,Shahid,(2012),8.2
31,Talvar,(2015),8.2
32,Aparajito,(1956),8.2
33,Drishyam,(2015),8.2
34,Hera Pheri,(2000),8.1
35,Satya,(1998),8.1
36,Black,(2005),8.1
37,Mughal-E-Azam,(1960),8.1
38,Mahanati,(2018),8.1
39,Bhaag Milkha Bhaag,(2013),8.1
40,Jo Jeeta Wohi Sikandar,(1992),8.1
41,Swades: We, the People,(2004),8.1
42,Paan Singh Tomar,(2012),8.1
43,Jigarthanda,(2014),8.1
44,Rang De Basanti,(2006),8.1
45,Soodhu Kavvum,(2013),8.1
46,Sholay,(1975),8.1
47,Queen,(2013),8.1
48,OMG: Oh My God!,(2012),8.1
49,Gangs of Wasseypur,(2012),8.1
50,Chak De! India,(2007),8.1
51,Premam,(2015),8.1
52,Sairat,(2016),8.1
53,Bangalore Days,(2014),8.1
54,A Wednesday,(2008),8.1
55,Munna Bhai M.B.B.S.,(2003),8.1
56,Mudhalvan,(1999),8.1
57,Ustad Hotel,(2012),8.1
58,Udaan,(2010),8.1
59,Anniyan,(2005),8.1
60,Dil Chahta Hai,(2001),8.1
61,Roja,(1992),8.1
62,Tumbbad,(2018),8.1
63,Andaz Apna Apna,(1994),8.1
64,Sarfarosh,(1999),8.1
65,Lagaan: Once Upon a Time in India,(2001),8.1
66,Pink,(2016),8.1
67,Kahaani,(2012),8.1
68,Zindagi Na Milegi Dobara,(2011),8.1
69,PK,(2014),8.1
70,Iqbal,(2005),8.1
71,Maqbool,(2003),8.1
72,Theeran Adhigaaram Ondru,(2017),8.1
73,Masaan,(2015),8.1
74,Barfi!,(2012),8.0
75,Baasha,(1995),8.0
76,The Legend of Bhagat Singh,(2002),8.0
77,Omkara,(2006),8.0
78,Arjun Reddy,(2017),8.0
79,Lage Raho Munna Bhai,(2006),8.0
80,Bommarillu,(2006),8.0
81,Bombay,(1995),8.0
82,Lucia,(2013),8.0
83,Deewaar,(1975),8.0
